Prescribe Percent,Number of Records,Opioid Claim Count,Specialty Description (Top 10 detail)1,State Name,Total Claim Count
52.10%,1,2025,Hand Surgery,Oklahoma,3886
,1,,Denturist,New York,18
50.30%,1,2979,Orthopedic Surgery,Alaska,5920
58.30%,1,13968,Interventional Pain Management,Washington,23960
47.10%,1,86017,Physical Medicine and Rehabilitation,Virginia,182732
29.50%,1,996,Physical Medicine and Rehabilitation,Vermont,3377
35.40%,1,794,Neurosurgery,New Mexico,2241
31.00%,1,8180,Anesthesiology,New Mexico,26357
64.50%,1,5855,Hand Surgery,Ohio,9076
29.70%,1,8445,Physical Medicine and Rehabilitation,Iowa,28459
55.70%,1,1644,Hand Surgery,Alabama,2950
47.00%,1,6072,Anesthesiology,Connecticut,12907
76.00%,1,2142,Hand Surgery,Oregon,2818
27.90%,1,1958,Physical Medicine and Rehabilitation,Montana,7027
46.20%,1,19150,Neurosurgery,North Carolina,41482
35.50%,1,1267,Neurosurgery,Maine,3573
69.90%,1,469,Hand Surgery,Montana,671
40.50%,1,754,Interventional Pain Management,Hawaii,1863
43.40%,1,35754,Orthopedic Surgery,Connecticut,82379
57.60%,1,127907,Pain Management,Georgia,222092
55.80%,1,58,Pain Management,District of Columbia,104
64.50%,1,63620,Interventional Pain Management,Michigan,98625
49.90%,1,4462,Anesthesiology,Hawaii,8949
58.60%,1,26004,Pain Management,Virginia,44411
26.10%,1,614,Neurosurgery,Rhode Island,2352
40.50%,1,11103,Neurosurgery,Alabama,27412
30.20%,1,1159,Neurosurgery,Utah,3844
42.00%,1,102150,Physical Medicine and Rehabilitation,Ohio,243395
52.10%,1,1550,Hand Surgery,Nevada,2974
42.10%,1,4266,Neurosurgery,Oregon,10141
42.80%,1,148677,Physical Medicine and Rehabilitation,Pennsylvania,347131
53.60%,1,175346,Physical Medicine and Rehabilitation,Georgia,327216
38.60%,1,1281,Interventional Pain Management,Montana,3322
38.50%,1,6073,Neurosurgery,Mississippi,15770
59.50%,1,62838,Anesthesiology,South Carolina,105672
60.00%,1,5288,Hand Surgery,Michigan,8806
42.00%,1,23490,Physical Medicine and Rehabilitation,Utah,55980
46.60%,1,81491,Physical Medicine and Rehabilitation,Alabama,174985
47.40%,1,5788,Hand Surgery,Texas,12209
48.40%,1,45689,Orthopedic Surgery,Wisconsin,94309
49.00%,1,86163,Pain Management,New York,175695
39.80%,1,1657,Neurosurgery,Iowa,4163
37.80%,1,900,Anesthesiology,Vermont,2383
60.00%,1,51,"Nursing Facility, Other (Dmercs Only)",Ohio,85
44.90%,1,148013,Orthopedic Surgery,Pennsylvania,329469
34.50%,1,4351,Physical Medicine and Rehabilitation,Hawaii,12605
43.80%,1,1757,Physical Medicine and Rehabilitation,Alaska,4014
49.80%,1,171208,Anesthesiology,California,343813
52.30%,1,11516,Pain Management,Arkansas,22007
49.70%,1,39359,Physical Medicine and Rehabilitation,Arizona,79125
52.80%,1,28,Hand Surgery,Vermont,53
40.70%,1,4065,Neurosurgery,Massachusetts,9988
49.00%,1,123387,Interventional Pain Management,California,252039
55.90%,1,66836,Interventional Pain Management,Alabama,119488
42.30%,1,1784,Neurosurgery,Idaho,4216
31.70%,1,59431,Interventional Pain Management,Pennsylvania,187631
58.60%,1,3102,Interventional Pain Management,South Dakota,5290
51.90%,1,39016,Orthopedic Surgery,Washington,75189
59.10%,1,28145,Interventional Pain Management,Wisconsin,47635
43.40%,1,33753,Anesthesiology,Massachusetts,77800
45.90%,1,60957,Orthopedic Surgery,Oklahoma,132804
32.60%,1,3972,Neurosurgery,Washington,12186
72.10%,1,655,Hand Surgery,Nebraska,908
54.70%,1,50216,Anesthesiology,Tennessee,91732
36.60%,1,45854,Physical Medicine and Rehabilitation,Missouri,125379
40.20%,1,29926,Physical Medicine and Rehabilitation,Nevada,74486
33.90%,1,297,Neurosurgery,District of Columbia,877
40.00%,1,41128,Physical Medicine and Rehabilitation,Washington,102885
55.70%,1,3115,Anesthesiology,North Dakota,5590
48.70%,1,41781,Orthopedic Surgery,Arkansas,85818
54.50%,1,201,Hand Surgery,Rhode Island,369
34.20%,1,4666,Neurosurgery,Maryland,13629
38.40%,1,7375,Physical Medicine and Rehabilitation,North Dakota,19192
50.90%,1,67987,Interventional Pain Management,Ohio,133680
60.50%,1,6836,Interventional Pain Management,Utah,11290
44.50%,1,11170,Neurosurgery,Missouri,25073
62.60%,1,26097,Interventional Pain Management,Connecticut,41714
